Item,Price,Ad ID,Location,Model,Details
 Bajaj Avenger 15000 Kms 2017 year ,75000," Added via phone Yesterday, Ad ID: 1222395987 "," Vikhroli West, Mumbai ", Bajaj Avenger 15000 Kms 2017 year ," Brand: Bajaj Model: Avenger Year: 2017 KM Driven: 15,000 km "
 Superb condition 1 hand used bike. Time pas wale pls don't msg ,52000," Added via phone Yesterday, Ad ID: 1222392849 "," Vinobha Bhave Nagar, Mumbai ", Superb condition 1 hand used bike. Time pas wale pls don't msg ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 21,000 km "
 Honda CB 34500 Kms 2016 year ,60000," Added via phone Yesterday, Ad ID: 1222396471 "," Andheri West, Mumbai ", Honda CB 34500 Kms 2016 year ," Brand: Honda Model: CB Year: 2016 KM Driven: 34,500 km "
 2015 Yamaha FZS 8000 Kms ,54000," Added via phone Yesterday, Ad ID: 1219425863 "," Bandra West, Mumbai ", 2015 Yamaha FZS 8000 Kms ," Brand: Yamaha Model: FZS Year: 2015 KM Driven: 8,000 km "
 Honda CBR 23000 Kms 2014 year ,60000," Added via phone Yesterday, Ad ID: 1222399921 "," Vikhroli West, Mumbai ", Honda CBR 23000 Kms 2014 year ," Brand: Honda Model: CBR Year: 2014 KM Driven: 23,000 km "
 Yamaha Others 40000 Kms 2012 year ,57000," Added via phone Yesterday, Ad ID: 1222402545 "," Ushma Nagar, Mumbai ", Yamaha Others 40000 Kms 2012 year ," Brand: Yamaha Model: Others Year: 2012 KM Driven: 40,000 km "
 Royal Enfield Bullet 15000 Kms 2010 year ,95000," Added via phone Yesterday, Ad ID: 1222402521 "," Vasai East, Mumbai ", Royal Enfield Bullet 15000 Kms 2010 year ," Brand: Royal Enfield Model: Bullet Year: 2010 KM Driven: 15,000 km "
 2017 Bajaj Pulsar 10368 Kms ,70000," Added via phone Yesterday, Ad ID: 1222401769 "," Bandra West, Mumbai ", 2017 Bajaj Pulsar 10368 Kms ," Brand: Bajaj Model: Pulsar Year: 2017 KM Driven: 10,368 km "
 Royal Enfield Bullet 700 Kms 1991 year ,100000," Added via phone Yesterday, Ad ID: 1222401939 "," Apollo Bunder, Mumbai ", Royal Enfield Bullet 700 Kms 1991 year , Brand: Royal Enfield Model: Bullet Year: 1991 KM Driven: 700 km 
 2016 Bajaj Pulsar 13648 Kms ,65000," Added via phone Yesterday, Ad ID: 1222401135 "," Bandra West, Mumbai ", 2016 Bajaj Pulsar 13648 Kms ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 13,648 km "
 Yamaha Others 51914 Kms 2015 year ,75000," Added via phone Yesterday, Ad ID: 1222400889 "," Antop Hill, Mumbai ", Yamaha Others 51914 Kms 2015 year ," Brand: Yamaha Model: Others Year: 2015 KM Driven: 51,914 km "
 Honda CB 65551 Kms 2009 year ,24000," Added via phone Yesterday, Ad ID: 1222406395 "," Vaibhav Nagar, Mumbai ", Honda CB 65551 Kms 2009 year ," Brand: Honda Model: CB Year: 2009 KM Driven: 65,551 km "
 Bajaj Pulsar 32000 Kms 2015 year ,60000," Added via phone Yesterday, Ad ID: 1222406879 "," GTB Nagar, Mumbai ", Bajaj Pulsar 32000 Kms 2015 year ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 32,000 km "
 2015 Honda cb 22500 Kms ,48000," Added via phone Yesterday, Ad ID: 1222407245 "," Netaji Nagar, Mumbai ", 2015 Honda cb 22500 Kms ," Brand: Honda Model: CB Year: 2015 KM Driven: 22,500 km "
 2014 Bajaj Avenger 20000 Kms ,38000," Added via phone Yesterday, Ad ID: 1212358587 "," Andheri West, Mumbai ", 2014 Bajaj Avenger 20000 Kms ," Brand: Bajaj Model: Avenger Year: 2014 KM Driven: 20,000 km "
 Hero Honda Ignitor 32000 Kms 2013 year ,27000," Added via phone Yesterday, Ad ID: 1222414479 "," Prabhadevi, Mumbai ", Hero Honda Ignitor 32000 Kms 2013 year ," Brand: Hero Honda Model: Ignitor Year: 2013 KM Driven: 32,000 km "
 TVS Star City Plus 50 Kms 2004 year ,8000," Added via phone Yesterday, Ad ID: 1222412167 "," Malad West, Mumbai ", TVS Star City Plus 50 Kms 2004 year , Brand: TVS Model: Star City Plus Year: 2000 KM Driven: 50 km 
 Bajaj Pulsar 4444 Kms 2006 year ,10000," Added via phone Yesterday, Ad ID: 1222407885 "," Borivali East, Mumbai ", Bajaj Pulsar 4444 Kms 2006 year ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 4,444 km "
 2015 Bajaj Pulsar 22000 Kms ,57000," Added via phone Yesterday, Ad ID: 1222416381 "," Kanakia Road, Mumbai ", 2015 Bajaj Pulsar 22000 Kms ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 22,000 km "
 Yamaha Others 40000 Kms 2014 year ,67000," Added via phone Yesterday, Ad ID: 1222416347 "," Khar West, Mumbai ", Yamaha Others 40000 Kms 2014 year ," Brand: Yamaha Model: Others Year: 2014 KM Driven: 40,000 km "
 Bajaj Pulsar 20000 Kms 2008 year ,9999," Added via phone Yesterday, Ad ID: 1222421003 "," Umerkhadi, Mumbai ", Bajaj Pulsar 20000 Kms 2008 year ," Brand: Bajaj Model: Pulsar Year: 2008 KM Driven: 20,000 km "
 Bajaj Avenger 4800 Kms 2016 year ,60000," Added via phone Yesterday, Ad ID: 1222423973 "," Kurla West, Mumbai ", Bajaj Avenger 4800 Kms 2016 year ," Brand: Bajaj Model: Avenger Year: 2016 KM Driven: 4,800 km "
 Honda Others 70000 Kms 2009 year ,25000," Added via phone Yesterday, Ad ID: 1222416749 "," Kandivali West, Mumbai ", Honda Others 70000 Kms 2009 year ," Brand: Honda Model: Others Year: 2009 KM Driven: 70,000 km "
 2009 Bajaj Avenger 7245 Kms ,32000," Added via phone Yesterday, Ad ID: 1222419791 "," Dadar West, Mumbai ", 2009 Bajaj Avenger 7245 Kms ," Brand: Bajaj Model: Avenger Year: 2009 KM Driven: 7,245 km "
 Yamaha FZS 23000 Kms 2015 year ,45000," Added via phone Yesterday, Ad ID: 1222422633 "," Chinchoti, Mumbai ", Yamaha FZS 23000 Kms 2015 year ," Brand: Yamaha Model: FZS Year: 2015 KM Driven: 23,000 km "
 Hero Honda Karizma 15000 Kms 2014 year ,75000," Added via phone Yesterday, Ad ID: 1222417797 "," Actan, Mumbai ", Hero Honda Karizma 15000 Kms 2014 year ," Brand: Hero Honda Model: Karizma Year: 2014 KM Driven: 15,000 km "
 Hero Others 22350 Kms 2014 year ,68000," Added via phone Yesterday, Ad ID: 1222421983 "," Prabhu Ali, Mumbai ", Hero Others 22350 Kms 2014 year ," Brand: Hero Model: Others Year: 2014 KM Driven: 22,350 km "
 2013 Hero Passion 23000 Kms ,37000," Added via phone Yesterday, Ad ID: 1222424219 "," Kandivali West, Mumbai ", 2013 Hero Passion 23000 Kms ," Brand: Hero Model: Passion Year: 2013 KM Driven: 23,000 km "
 Bajaj Discover 100 M 55 Average ,36000," Added Yesterday, Ad ID: 1222426013 "," Kandivali West, Mumbai ", Bajaj Discover 100 M 55 Average ," Brand: Bajaj Model: Discover Year: 2015 KM Driven: 32,368 km "
 Honda Others 1800 Kms 2018 year ,55000," Added via phone Yesterday, Ad ID: 1222425851 "," Chembur, Mumbai ", Honda Others 1800 Kms 2018 year ," Brand: Honda Model: Others Year: 2018 KM Driven: 1,800 km "
 Royal Enfield Thunderbird 47900 Kms 2013 year ,80000," Added via phone at 12:02 am, Ad ID: 1222431277 "," Vidya Nagari, Mumbai ", Royal Enfield Thunderbird 47900 Kms 2013 year ," Brand: Royal Enfield Model: Thunderbird Year: 2013 KM Driven: 47,900 km "
 2010 Hero Honda Passion 50000 Kms ,21000," Added via phone at 12:07 am, Ad ID: 1222432081 "," Lower Parel, Mumbai ", 2010 Hero Honda Passion 50000 Kms ," Brand: Hero Honda Model: Passion Year: 2010 KM Driven: 50,000 km "
 Suzuki GS 44000 Kms 2010 year ,22000," Added via phone Yesterday, Ad ID: 1222427909 "," Kurla West, Mumbai ", Suzuki GS 44000 Kms 2010 year ," Brand: Suzuki Model: GS Year: 2010 KM Driven: 44,000 km "
 2015 KTM 390 Duke ABS 31000 Kms ,90000," Added via phone at 12:05 am, Ad ID: 1222431811 "," Goregaon West, Mumbai ", 2015 KTM 390 Duke ABS 31000 Kms ," Brand: KTM Model: 390 Duke ABS Year: 2015 KM Driven: 31,000 km "
 2017 Hero Passion 001 Kms ,49500," Added via phone at 12:02 am, Ad ID: 1222431233 "," Kalyan West, Mumbai ", 2017 Hero Passion 001 Kms , Brand: Hero Model: Passion Year: 2017 KM Driven: 1 km 
 2014 Bajaj Pulsar 45000 Kms ,25000," Added via phone at 12:15 am, Ad ID: 1222433397 "," Parel, Mumbai ", 2014 Bajaj Pulsar 45000 Kms ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 45,000 km "
 Hero Honda Karizma 40000 Kms 2005 year ,23000," Added via phone at 12:18 am, Ad ID: 1222025461 "," Jogeshwari–Vikhroli Link Road (JVLR), Mumbai ", Hero Honda Karizma 40000 Kms 2005 year ," Brand: Hero Honda Model: Karizma Year: 2005 KM Driven: 40,000 km "
 Honda CBR 18000 Kms 2012 year ,100000," Added via phone at 12:33 am, Ad ID: 1222435879 "," Santacruz East, Mumbai ", Honda CBR 18000 Kms 2012 year ," Brand: Honda Model: CBR Year: 2012 KM Driven: 18,000 km "
 Bajaj Pulsar 28000 Kms 2012 year ,36000," Added via phone at 12:31 am, Ad ID: 1222435669 "," Antop Hill, Mumbai ", Bajaj Pulsar 28000 Kms 2012 year ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 28,000 km "
 2014 Bajaj Pulsar 48000 Kms ,40000," Added via phone at 12:36 am, Ad ID: 1222436095 "," Nalasopara West, Mumbai ", 2014 Bajaj Pulsar 48000 Kms ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 48,000 km "
 2015 Yamaha YZF R 21000 Kms ,70000," Added via phone at 12:20 am, Ad ID: 1222434053 "," Malad East, Mumbai ", 2015 Yamaha YZF R 21000 Kms ," Brand: Yamaha Model: YZF R Year: 2015 KM Driven: 21,000 km "
 2014 Bajaj Pulsar 35000 Kms ,45000," Added via phone at 12:20 am, Ad ID: 1222434147 "," Vasai Road, Mumbai ", 2014 Bajaj Pulsar 35000 Kms ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 35,000 km "
 Honda CB 25000 Kms 2011 year ,22500," Added via phone at 12:23 am, Ad ID: 1222434543 "," Vidyavihar West, Mumbai ", Honda CB 25000 Kms 2011 year ," Brand: Honda Model: CB Year: 2011 KM Driven: 25,000 km "
 Royal Enfield Thunderbird 47000 Kms 2014 year ,100000," Added via phone at 12:47 am, Ad ID: 1222437579 "," Kurla West, Mumbai ", Royal Enfield Thunderbird 47000 Kms 2014 year ," Brand: Royal Enfield Model: Thunderbird Year: 2014 KM Driven: 47,000 km "
 Royal Enfield Classic 30000 Kms 2013 year ,85000," Added via phone at 01:29 am, Ad ID: 1216469249 "," Sion West, Mumbai ", Royal Enfield Classic 30000 Kms 2013 year ," Brand: Royal Enfield Model: Classic Year: 2013 KM Driven: 31,000 km "
 Yamaha FZ 665000 Kms 2010 year ,28500," Added via phone at 01:20 am, Ad ID: 1219781213 "," Kurla West, Mumbai ", Yamaha FZ 665000 Kms 2010 year ," Brand: Yamaha Model: FZ Year: 2010 KM Driven: 6,65,000 km "
 Royal Enfield Thunderbird 7000 Kms 2015 year ,125000," Added via phone at 01:08 am, Ad ID: 1222439841 "," Kalyan East, Mumbai ", Royal Enfield Thunderbird 7000 Kms 2015 year ," Brand: Royal Enfield Model: Thunderbird Year: 2015 KM Driven: 7,000 km "
 2007 Bajaj Avenger 230000 Kms ,26000," Added via phone at 12:55 am, Ad ID: 1211376311 "," Govandi, Mumbai ", 2007 Bajaj Avenger 230000 Kms ," Brand: Bajaj Model: Avenger Year: 2007 KM Driven: 2,30,000 km "
 Bajaj Pulsar 34000 Kms 2012 year ,30000," Added via phone at 01:26 am, Ad ID: 1222441441 "," Panth Nagar, Mumbai ", Bajaj Pulsar 34000 Kms 2012 year ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 34,000 km "
 2014 Hero Karizma 26000 Kms ,49999," Added via phone at 01:34 am, Ad ID: 1222442071 "," Grant Road Area, Mumbai ", 2014 Hero Karizma 26000 Kms ," Brand: Hero Model: Karizma Year: 2014 KM Driven: 26,000 km "
 Royal Enfield Bullet 40000 Kms 1968 year ,135000," Added via phone at 01:35 am, Ad ID: 1222442097 "," Dhanayjay And Bhadarali, Mumbai ", Royal Enfield Bullet 40000 Kms 1968 year ," Brand: Royal Enfield Model: Bullet Year: 1968 KM Driven: 40,000 km "
 2012 Bajaj Discover 20888 Kms ,30000," Added via phone at 02:00 am, Ad ID: 1123668383 "," Vikhroli East, Mumbai ", 2012 Bajaj Discover 20888 Kms ," Brand: Bajaj Model: Discover Year: 2012 KM Driven: 20,888 km "
 Honda Others 10000 Kms 2011 year ,22000," Added via phone at 03:35 am, Ad ID: 1222447097 "," Netaji Nagar, Mumbai ", Honda Others 10000 Kms 2011 year ," Brand: Honda Model: Others Year: 2011 KM Driven: 10,000 km "
 Honda Dream Yuga 14000 Kms 2014 year ,35500," Added via phone at 02:52 am, Ad ID: 1222445907 "," Vasai East, Mumbai ", Honda Dream Yuga 14000 Kms 2014 year ," Brand: Honda Model: Dream Yuga Year: 2014 KM Driven: 14,000 km "
 2011 Bajaj Pulsar 19450 Kms ,25000," Added via phone at 02:09 am, Ad ID: 1222444073 "," Ushma Nagar, Mumbai ", 2011 Bajaj Pulsar 19450 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 19,450 km "
 Yamaha Rx 135 5 Speed ,85000," Added via phone at 03:51 am, Ad ID: 1222447585 "," Ambarnath, Mumbai ", Yamaha Rx 135 5 Speed ," Brand: Yamaha Model: Others Year: 2000 KM Driven: 5,000 km "
 Hero Honda Passion 15000 Kms 2009 year ,21000," Added via phone at 04:50 am, Ad ID: 1222449411 "," Borivali West, Mumbai ", Hero Honda Passion 15000 Kms 2009 year ," Brand: Hero Honda Model: Passion Year: 2009 KM Driven: 15,000 km "
 2014 Bajaj Pulsar 28000 Kms ,45000," Added via phone at 05:03 am, Ad ID: 1222449733 "," Ghatkopar West, Mumbai ", 2014 Bajaj Pulsar 28000 Kms ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 28,000 km "
 2017 Royal Enfield Thunderbird 9300 Kms ,153000," Added via phone at 02:06 am, Ad ID: 1222443967 "," Wadala East, Mumbai ", 2017 Royal Enfield Thunderbird 9300 Kms ," Brand: Royal Enfield Model: Thunderbird Year: 2017 KM Driven: 9,300 km "
 Honda Dream Yuga 50000 Kms 2013 year ,40000," Added via phone at 05:29 am, Ad ID: 1222450517 "," Vijaykar Wadi, Mumbai ", Honda Dream Yuga 50000 Kms 2013 year ," Brand: Honda Model: Dream Yuga Year: 2013 KM Driven: 50,000 km "
 Royal Enfield Others 58000 Kms 2004 year ,94000," Added via phone at 07:38 am, Ad ID: 1211766487 "," Verma Nagar, Mumbai ", Royal Enfield Others 58000 Kms 2004 year ," Brand: Royal Enfield Model: Others Year: 2004 KM Driven: 58,000 km "
 2013 Bajaj Discover 16000 Kms ,28000," Added via phone at 05:48 am, Ad ID: 1222451373 "," Rajavali, Mumbai ", 2013 Bajaj Discover 16000 Kms ," Brand: Bajaj Model: Discover Year: 2013 KM Driven: 16,000 km "
 Bajaj Pulsar 80000 Kms 2006 year ,15000," Added via phone at 07:21 am, Ad ID: 1222457159 "," Kandivali East, Mumbai ", Bajaj Pulsar 80000 Kms 2006 year ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 80,000 km "
 2015 Royal Enfield Classic 32000 Kms ,90000," Added via phone at 05:43 am, Ad ID: 1217984873 "," Mulund East, Mumbai ", 2015 Royal Enfield Classic 32000 Kms ," Brand: Royal Enfield Model: Classic Year: 2015 KM Driven: 32,000 km "
 2011 Bajaj Pulsar 46930 Kms ,30000," Added via phone at 06:24 am, Ad ID: 1222453477 "," Gulmohar Road, Mumbai ", 2011 Bajaj Pulsar 46930 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 46,930 km "
 2011 Hero Honda Others 30000 Kms ,24000," Added via phone at 05:59 am, Ad ID: 1222451941 "," Dhanayjay And Bhadarali, Mumbai ", 2011 Hero Honda Others 30000 Kms ," Brand: Hero Honda Model: Others Year: 2011 KM Driven: 30,000 km "
 Bajaj Pulsar 27500 Kms 2008 year ,12000," Added via phone at 06:47 am, Ad ID: 1222455417 "," Vrindavan, Mumbai ", Bajaj Pulsar 27500 Kms 2008 year ," Brand: Bajaj Model: Pulsar Year: 2008 KM Driven: 27,500 km "
 Yamaha FZ 10800 Kms 2014 year ,50000," Added via phone at 07:59 am, Ad ID: 1222462311 "," Vishal hall, Mumbai ", Yamaha FZ 10800 Kms 2014 year ," Brand: Yamaha Model: FZS Year: 2014 KM Driven: 10,800 km "
 Royal Enfield Classic 7200 Kms 2015 year ,128000," Added via phone at 08:51 am, Ad ID: 1219365133 "," Versova, Mumbai ", Royal Enfield Classic 7200 Kms 2015 year ," Brand: Royal Enfield Model: Classic Year: 2015 KM Driven: 7,200 km "
 Hero Honda Passion 75300 Kms 2010 year ,21000," Added via phone at 08:38 am, Ad ID: 1222472403 "," Vile Parle East, Mumbai ", Hero Honda Passion 75300 Kms 2010 year ," Brand: Hero Honda Model: Passion Year: 2010 KM Driven: 75,300 km "
 Bajaj Pulsar 4241 Kms 2017 year ,65000," Added via phone at 09:08 am, Ad ID: 1216297605 "," Gulmohar Road, Mumbai ", Bajaj Pulsar 4241 Kms 2017 year ," Brand: Bajaj Model: Avenger Year: 2017 KM Driven: 10,867 km "
 Hero Honda Others 29194 Kms 2011 year ,33000," Added via phone at 09:08 am, Ad ID: 1222481147 "," Bhandup West, Mumbai ", Hero Honda Others 29194 Kms 2011 year ," Brand: Hero Honda Model: Others Year: 2011 KM Driven: 29,194 km "
 Bajaj Pulsar RS200 ABS ,108000," Added at 09:15 am, Ad ID: 1163073223 "," Andheri East, Mumbai ", Bajaj Pulsar RS200 ABS ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 25,000 km "
 Royal Enfield Classic 3250 Kms 2015 year ,200000," Added via phone at 09:14 am, Ad ID: 1222482909 "," Kandivali East, Mumbai ", Royal Enfield Classic 3250 Kms 2015 year ," Brand: Royal Enfield Model: Classic Year: 2015 KM Driven: 3,250 km "
 2015 TVS Others 25000 Kms ,35000," Added via phone at 09:30 am, Ad ID: 1222488197 "," Jogeshwari West, Mumbai ", 2015 TVS Others 25000 Kms ," Brand: TVS Model: Others Year: 2015 KM Driven: 25,000 km "
 Hero Honda Karizma 40000 Kms 2011 year ,40000," Added via phone at 09:38 am, Ad ID: 1215775959 "," Dahisar East, Mumbai ", Hero Honda Karizma 40000 Kms 2011 year ," Brand: Hero Honda Model: Karizma Year: 2011 KM Driven: 40,000 km "
 Bajaj Avenger 20000 Kms 2006 year ,20000," Added via phone at 09:53 am, Ad ID: 1222496325 "," Andheri East, Mumbai ", Bajaj Avenger 20000 Kms 2006 year ," Brand: Bajaj Model: Avenger Year: 2006 KM Driven: 20,000 km "
 KTM RC 22000 Kms 2016 year ,175000," Added via phone at 09:53 am, Ad ID: 1222495971 "," Kalyan West, Mumbai ", KTM RC 22000 Kms 2016 year ," Brand: KTM Model: RC Year: 2016 KM Driven: 22,000 km "
 Honda CB 5455 Kms 2015 year ,50000," Added via phone at 10:11 am, Ad ID: 1222502993 "," Goregaon East, Mumbai ", Honda CB 5455 Kms 2015 year ," Brand: Honda Model: CB Year: 2015 KM Driven: 5,455 km "
 2011 Honda CBF Stunner 60000 Kms ,18000," Added via phone at 09:56 am, Ad ID: 1213941949 "," Chembur, Mumbai ", 2011 Honda CBF Stunner 60000 Kms ," Brand: Honda Model: CBF Stunner Year: 2011 KM Driven: 60,000 km "
 2008 Suzuki Others 45436 Kms ,11000," Added via phone at 10:01 am, Ad ID: 1153508475 "," Vasai East, Mumbai ", 2008 Suzuki Others 45436 Kms ," Brand: Suzuki Model: Others Year: 2008 KM Driven: 45,436 km "
 1975 Royal Enfield Bullet 2000 Kms ,80000," Added via phone at 09:57 am, Ad ID: 1222300337 "," Mahalakshmi, Mumbai ", 1975 Royal Enfield Bullet 2000 Kms ," Brand: Royal Enfield Model: Bullet Year: 1975 KM Driven: 2,000 km "
 Yamaha FZS 14000 Kms 2014 year ,50000," Added via phone at 09:58 am, Ad ID: 1211381101 "," Nalasopara East, Mumbai ", Yamaha FZS 14000 Kms 2014 year ," Brand: Yamaha Model: FZS Year: 2014 KM Driven: 14,000 km "
 Bajaj Pulsar 40000 Kms 2006 year ,10000," Added via phone at 10:12 am, Ad ID: 1222503313 "," Vasai East, Mumbai ", Bajaj Pulsar 40000 Kms 2006 year ," Brand: Bajaj Model: Pulsar Year: 2006 KM Driven: 40,000 km "
 Yamaha RX100 4500 Kms 1989 year ,10000," Added via phone Yesterday, Ad ID: 1171929523 "," Andheri West, Mumbai ", Yamaha RX100 4500 Kms 1989 year ," Brand: Yamaha Model: FZ Year: 1989 KM Driven: 4,500 km "
 Atv 110 cc all colors available ,75000," Added via phone at 10:17 am, Ad ID: 1222505191 "," Mumbai Central, Mumbai ", Atv 110 cc all colors available , Brand: Other Brands Year: 2018 KM Driven: 1 km 
 TVS Apache RTR 86000 Kms 2008 year. SUPREME CONDITION. 60AVERAGE ,25200," Added via phone at 10:18 am, Ad ID: 1222505785 "," Mumbai - Nasik Highway, Mumbai ", TVS Apache RTR 86000 Kms 2008 year. SUPREME CONDITION. 60AVERAGE ," Brand: TVS Model: Apache RTR Year: 2008 KM Driven: 86,000 km "
 Bajaj Pulsar 48000 Kms 2014 year ,50000," Added via phone at 10:13 am, Ad ID: 1222503845 "," Vrindavan, Mumbai ", Bajaj Pulsar 48000 Kms 2014 year ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 48,000 km "
 Hero Honda Passion pro ,28000," Added via phone at 10:28 am, Ad ID: 1222509893 "," Ghatkopar West, Mumbai ", Hero Honda Passion pro ," Brand: Hero Honda Model: Passion Year: 2009 KM Driven: 65,000 km "
 2008 Hero Honda CBZ 33000 Kms ,20000," Added via phone at 10:13 am, Ad ID: 1222503667 "," Byculla, Mumbai ", 2008 Hero Honda CBZ 33000 Kms ," Brand: Hero Honda Model: CBZ Year: 2008 KM Driven: 33,000 km "
 Yamaha YZF R 400 Kms 2018 year ,140000," Added via phone Yesterday, Ad ID: 1222029595 "," Andheri West, Mumbai ", Yamaha YZF R 400 Kms 2018 year , Brand: Yamaha Model: YZF R Year: 2018 KM Driven: 400 km 
 Royal Enfield Continental GT 13800 Kms 2015 year ,130000," Added via phone Yesterday, Ad ID: 1222033725 "," Khar West, Mumbai ", Royal Enfield Continental GT 13800 Kms 2015 year ," Brand: Royal Enfield Model: Continental GT Year: 2015 KM Driven: 13,800 km "
 Rxz fully load no work ,65000," Added via phone Yesterday, Ad ID: 1222040545 "," Parel, Mumbai ", Rxz fully load no work ," Brand: Yamaha Model: Others Year: 1998 KM Driven: 1,050 km "
 2018 Honda Others 650 Kms ,92000," Added via phone Yesterday, Ad ID: 1222040695 "," Mumbai Central, Mumbai ", 2018 Honda Others 650 Kms , Brand: Honda Model: Others Year: 2018 KM Driven: 650 km 
 ATV bike big size ,149999," Added via phone Yesterday, Ad ID: 1222036331 "," Mumbai Central, Mumbai ", ATV bike big size ," Brand: Other Brands Year: 2015 KM Driven: 1,500 km "
 Bajaj Pulsar 21000 Kms 2015 year ,48999," Added via phone Yesterday, Ad ID: 1222040949 "," Gulmohar Road, Mumbai ", Bajaj Pulsar 21000 Kms 2015 year ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 21,000 km "
 2011 Hero Honda Others 40000 Kms ,30000," Added via phone Yesterday, Ad ID: 1222039663 "," Wadala East, Mumbai ", 2011 Hero Honda Others 40000 Kms ," Brand: Hero Honda Model: Others Year: 2011 KM Driven: 40,000 km "
 2012 Yamaha R15 Limited Edition with Graphics 42000 Kms ,60000," Added via phone Yesterday, Ad ID: 1222040263 "," Juhu, Mumbai ", 2012 Yamaha R15 Limited Edition with Graphics 42000 Kms ," Brand: Yamaha Model: Others Year: 2012 KM Driven: 42,000 km "
 Avenger street dec 2015 model 1st party ,68000," Added via phone Yesterday, Ad ID: 1139885595 "," Mandvi, Mumbai ", Avenger street dec 2015 model 1st party ," Brand: Bajaj Model: Others Year: 2015 KM Driven: 14,500 km "
 Credit Card/Loan Facility available for Pulsar 220 2015 Model ,55000," Added via phone Yesterday, Ad ID: 1206345219 "," Grant Road Area, Mumbai ", Credit Card/Loan Facility available for Pulsar 220 2015 Model ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 16,000 km "
 2011 Honda CB 5635 Kms ,35000," Added via phone Yesterday, Ad ID: 1222044363 "," Kalyan East, Mumbai ", 2011 Honda CB 5635 Kms ," Brand: Honda Model: CB Year: 2011 KM Driven: 5,635 km "
 2010 Yamaha Fazer 1 Kms ,30000," Added via phone Yesterday, Ad ID: 1222041189 "," Khar West, Mumbai ", 2010 Yamaha Fazer 1 Kms , Brand: Yamaha Model: Fazer Year: 2010 KM Driven: 1 km 
 Customised Royal Enfield..VOYAGER ,400000," Added via phone Yesterday, Ad ID: 1218461981 "," Kanjurmarg West, Mumbai ", Customised Royal Enfield..VOYAGER ," Brand: Other Brands Year: 2015 KM Driven: 8,000 km "
 Suzuki Gixxer fix fix price 2014 year silent engine ,37000," Added via phone Yesterday, Ad ID: 1217143645 "," Vijaykar Wadi, Mumbai ", Suzuki Gixxer fix fix price 2014 year silent engine ," Brand: Suzuki Model: Gixxer Year: 2015 KM Driven: 22,000 km "
 2013 Bajaj Pulsar ,38000," Added via phone Yesterday, Ad ID: 1219191017 "," Mulund East, Mumbai ", 2013 Bajaj Pulsar ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 25,000 km "
" Kawasaki Ninja 650 2012 dec second owner, superb ",295000," Added via phone Yesterday, Ad ID: 1210611123 "," Gamdevi, Mumbai "," Kawasaki Ninja 650 2012 dec second owner, superb "," Brand: Other Brands Year: 2012 KM Driven: 12,000 km "
 Yamaha Fazer 20000 Kms 2012 year ,35000," Added via phone Yesterday, Ad ID: 1208985679 "," Goregaon West, Mumbai ", Yamaha Fazer 20000 Kms 2012 year ," Brand: Yamaha Model: Fazer Year: 2012 KM Driven: 20,000 km "
" 2015 November Royal enfield 350 Classic, less run, Showroom condition. ",110000," Added Yesterday, Ad ID: 1215534841 "," Santacruz East, Mumbai "," 2015 November Royal enfield 350 Classic, less run, Showroom condition. "," Brand: Royal Enfield Model: Classic Year: 2015 KM Driven: 13,900 km "
 Royal Enfield Continental GT 12000 Kms 2013 year ,135000," Added via phone Yesterday, Ad ID: 1222051461 "," Borivali East, Mumbai ", Royal Enfield Continental GT 12000 Kms 2013 year ," Brand: Royal Enfield Model: Continental GT Year: 2013 KM Driven: 12,000 km "
 2003 Yamaha Others 40000 Kms ,18000," Added via phone Yesterday, Ad ID: 1204247001 "," Vikhroli East, Mumbai ", 2003 Yamaha Others 40000 Kms ," Brand: Yamaha Model: Others Year: 2003 KM Driven: 40,000 km "
 2016 Royal Enfield Classic 4800 Kms ,125000," Added via phone Yesterday, Ad ID: 1222052539 "," Vidya Nagari, Mumbai ", 2016 Royal Enfield Classic 4800 Kms ," Brand: Royal Enfield Model: Classic Year: 2016 KM Driven: 4,800 km "
